回数,種別,科目名,番号,問題文,選択肢１,選択肢２,選択肢３,選択肢４,答
29,按マ指,東洋医学臨床論,118,三叉神経痛の罹患神経と施術部位の組合せで適切なのはどれか。,第1枝———四白,第2枝———攅竹,第2枝———聴会,第3枝———大迎,4
29,按マ指,東洋医学臨床論,119,次の文で示す症例に対する治療プログラムとして最も適切なのはどれか。「70歳の男性。主訴は労作時の息切れ。胸郭の前後径が増加し、口すぼめ呼吸がみられる。昨年まで喫煙歴あり。」,呼吸補助筋の機能回復には胸鎖乳突筋の緊張緩和が重要である。,呼吸法は呼気よりも吸気に時間をかけるよう指導する。,呼吸指導は胸式呼吸訓練を中心に行う。,全身持久力トレーニングは上肢の運動を中心に行う。,1
29,按マ指,東洋医学臨床論,120,アイヒホッフテスト陽性の患者に対し、施術対象となる最も適切な筋はどれか。,尺側手根伸筋,長橈側手根伸筋,短母指伸筋,総指伸筋,3
29,按マ指,東洋医学臨床論,121,次の文で示す症例で施術部位となる障害神経根として最も適切なのはどれか。「30歳の男性。腰椎椎間板ヘルニアを発症し腰下肢に痛みがある。下腿内側の知覚異常、膝蓋腱反射減弱を認める。」,L3神経根,L4神経根,L5神経根,S1神経根,2
29,按マ指,東洋医学臨床論,122,次の文で示す症例の罹患筋として最も適切なのはどれか。「58歳の男性。右殿部から下肢後面にかけて痛みやしびれがある。SLRテストは陰性、K・ボンネットテストとフライバーグテストは陽性。」,大殿筋,中殿筋,梨状筋,大腿方形筋,3
29,按マ指,東洋医学臨床論,123,変形性股関節症の病態を確認する徒手検査はどれか。,ケンプテスト,ラセーグテスト,トーマステスト,ニュートンテスト,3
29,按マ指,東洋医学臨床論,124,モーレイテストが陽性となる患者に対する局所施術部位として適切な筋はどれか。,僧帽筋,斜角筋,胸鎖乳突筋,小胸筋,2
29,按マ指,東洋医学臨床論,125,次の文で示すストレッチングで伸張される筋として最も適切なのはどれか。「患者は背臥位で、右側の股関節・膝関節を屈曲位とする。その肢位から施術者は、患者の骨盤が後傾しないように固定しながら、右膝を反対側の胸に近づけた。」,大腿筋膜張筋,梨状筋,中殿筋,大殿筋,4
29,按マ指,東洋医学臨床論,126,次の文で示す症例に対する施術で最も適切な筋はどれか。「35歳の女性。最近テニスを始めたが、プレー後に肘に痛みを感じるようになった。トムゼンテスト陽性。」,短橈側手根伸筋,腕橈骨筋,方形回内筋,橈側手根屈筋,1
29,按マ指,東洋医学臨床論,127,次の文で示す症例の障害神経として最も適切なのはどれか。「23歳の男性。空手の練習中に下腿前面を強打した後、強い腫脹と疼痛が起こった。第1足趾と第2足趾の背側の知覚障害が現れ、足関節の背屈ができなくなった。」,深腓骨神経,浅腓骨神経,腓腹神経,脛骨神経,1
29,按マ指,東洋医学臨床論,128,次の文で示す患者の病証に対する治療方針として最も適切なのはどれか。「58歳の男性。主訴はのぼせ。ここ半年間、残業が続き倦怠感とともに、のぼせを自覚するようになった。手掌、足底に熱感がある。舌は紅、少苔、脈は細数を認める。」,肺気を補う。,腎陰を養う。,痰湿を除く。,肝火を鎮める。,2
29,按マ指,東洋医学臨床論,129,次の文で示す患者の病証で随伴症状として最もみられるのはどれか。「10歳の男児。頸部から前胸部にかけて赤い湿疹がみられ、悪化すると痒みが強くなり、じくじくする。舌は紅、黄膩苔、脈は滑数を認める。」,悪風,泥状便,息切れ,手足のけいれん,2
29,按マ指,東洋医学臨床論,130,次の文で示す患者の病証に対する治療方針として最も適切なのはどれか。「36歳の女性。動悸と胸苦しさがあり、少し動いただけでも汗をかく。めまいや倦怠感もみられる。舌は淡、脈は弱を認める。」,陽気を補う。,陰液を補う。,瘀血を除く。,痰濁を除く。,1
29,按マ指,東洋医学臨床論,131,東洋医学的な胸腹部の痛みで、足三里への圧迫が最も効果的なのはどれか。,大腹痛,小腹痛,少腹痛,脇痛,1
29,按マ指,東洋医学臨床論,132,次の文で示す患者の病証に対し、治療対象となる経脈として最も適切なのはどれか。「30歳の女性。半年前から月経周期が不順で、経血量が多く、歯茎からも出血しやすい。精神的な疲労と脱力感がある。舌は淡、脈は細弱を認める。」,手の少陰経,足の厥陰経,足の太陰経,足の少陰経,3
29,按マ指,東洋医学臨床論,133,次の文で示す患者の病証に対する治療で、最も適切な経穴の組合せはどれか。「36歳の男性。仕事中にイライラすることが多く寝つきが極端に悪くなった。顔が赤く、目は充血しやすい。舌は紅、脈は弦数を認める。」,章門———太白,京門———太渓,期門———太衝,神門———公孫,3
29,按マ指,東洋医学臨床論,134,次の文で示す患者の病証に対する治療穴として最も適切なのはどれか。「39歳の女性。主訴は頭痛。痛みの性質は重痛で、体の重だるさや悪心、嘔吐を伴う。飲食の不摂生で症状は悪化する。舌は淡紅、白膩苔、脈は滑を認める。」,蠡溝,太渓,丘墟,豊隆,4
29,按マ指,東洋医学臨床論,135,肩関節の後面に慢性的な痛みとこりを訴える患者に対し、経脈の流注を考慮して母指圧迫をする場合、適切な絡穴はどれか。,列欠,偏歴,内関,支正,4
29,按マ指,東洋医学臨床論,136,次の文で示す症例に対して経脈の流注を考慮して施術する場合、最も適切な足の経脈はどれか。「48歳の女性。最近、坐位から立ち上がる時に、クリック音とともに膝の痛みを自覚する。マクマレーテスト、内反・外反ストレステストは陰性、膝蓋骨圧迫テストは陽性。」,太陽経,太陰経,厥陰経,少陽経,2
29,按マ指,東洋医学臨床論,137,目の疲れを訴える患者に経脈の流注を考慮して施術する場合、最も適切なのはどれか。,手の太陰経,手の厥陰経,足の太陰経,足の太陽経,4
29,按マ指,東洋医学臨床論,138,素問上古天真論において、男性の腎気が衰え髪が抜け始める年齢はどれか。,35歳,40歳,42歳,48歳,2
29,按マ指,総合(専門科目),139,次の文で示す症例について、問いに答えよ。「40歳の男性。主訴は腰痛。第3腰椎の高さで脊柱起立筋のすぐ外側にある深部の筋に、圧痛と硬結を触知した。圧痛部を押すと腰椎を側屈させるような筋収縮が認められた｡」圧痛と硬結を触知した筋はどれか。,大腰筋,腹横筋,外腹斜筋,腰方形筋,4
29,按マ指,総合(専門科目),140,次の文で示す症例について、問いに答えよ。「40歳の男性。主訴は腰痛。第3腰椎の高さで脊柱起立筋のすぐ外側にある深部の筋に、圧痛と硬結を触知した。圧痛部を押すと腰椎を側屈させるような筋収縮が認められた｡」圧痛と硬結を触知した筋を選択的に揉捏する部位として最も適切なのはどれか。,腸骨稜から第12肋骨の間,腸骨稜から腹直筋鞘の間,腸骨稜から上腕骨小結節稜の間,腰椎肋骨突起から大腿骨小転子の間,1
29,按マ指,総合(専門科目),141,次の文で示す症例について、問いに答えよ。「30歳の女性。主訴は胸やけ。食後や夜間に口に酸っぱいものがこみ上がってくる。胃内視鏡検査で食道のびらんを指摘された。前脛骨筋に緊張と圧痛を認める。」生活指導として最も適切なのはどれか。,高脂肪食を摂る。,水分を多めに摂る。,体幹の前屈姿勢で休息する。,就寝前の食事を控える。,4
29,按マ指,総合(専門科目),142,次の文で示す症例について、問いに答えよ。「30歳の女性。主訴は胸やけ。食後や夜間に口に酸っぱいものがこみ上がってくる。胃内視鏡検査で食道のびらんを指摘された。前脛骨筋に緊張と圧痛を認める。」本症例の経脈病証はどれか。,足の太陰経脈病証,足の厥陰経脈病証,足の少陽経脈病証,足の陽明経脈病証,4
29,按マ指,総合(専門科目),143,次の文で示す症例について、問いに答えよ。「57歳の男性。主訴は左上肢のしびれ。左前腕橈側から母指にかけてのしびれが続いている。」主訴の原因で可能性が最も高いのはどれか。,前縦靱帯の肥厚,後縦靱帯の肥厚,椎間関節部の後方への骨棘,ルシュカ関節部の後方への骨棘,4
29,按マ指,総合(専門科目),144,次の文で示す症例について、問いに答えよ。「57歳の男性。主訴は左上肢のしびれ。左前腕橈側から母指にかけてのしびれが続いている。」障害高位に一致して、筋力低下がみられる可能性が最も高いのはどれか。,三角筋,腕橈骨筋,尺側手根屈筋,深指屈筋,2
29,按マ指,総合(専門科目),145,次の文で示す症例について、問いに答えよ。「32歳の男性。朝起きると顔の右半分が動かしにくい。眉毛を上げたり目を閉じたりする動作が鈍く、口角から水がもれる。顔に痛みや発疹はない。」本疾患について正しいのはどれか。,中枢神経の障害である。,柳原法で評価する。,風疹ウイルスが原因となる。,進行すると咀嚼運動ができない。,2
29,按マ指,総合(専門科目),146,次の文で示す症例について、問いに答えよ。「32歳の男性。朝起きると顔の右半分が動かしにくい。眉毛を上げたり目を閉じたりする動作が鈍く、口角から水がもれる。顔に痛みや発疹はない。」障害筋と治療穴の組合せで正しいのはどれか。,眼輪筋———頭維,皺眉筋———攅竹,口輪筋———大迎,大頬骨筋———聴宮,2
29,按マ指,総合(専門科目),147,次の文で示す症例について、問いに答えよ。「35歳の男性。5か月前から左腰下肢に痛みがあり、腰椎椎間板ヘルニアと診断されている。患側の母趾伸展力の低下がみられるが、膝蓋腱反射とアキレス腱反射は正常。」陽性となる可能性が最も高い徒手検査はどれか。,ブラガードテスト,パトリックテスト,ニュートンテスト,大腿神経伸展テスト,1
29,按マ指,総合(専門科目),148,次の文で示す症例について、問いに答えよ。「35歳の男性。5か月前から左腰下肢に痛みがあり、腰椎椎間板ヘルニアと診断されている。患側の母趾伸展力の低下がみられるが、膝蓋腱反射とアキレス腱反射は正常。」障害神経根として最も適切なのはどれか。,L3神経根,L4神経根,L5神経根,S1神経根,3
29,按マ指,按摩・マッサージ・指圧理論,149,曲手で母指を用いるのはどれか。,突手,車手,挫手,雷手,3
29,按マ指,按摩・マッサージ・指圧理論,150,軽擦法で主に足底へ用いるのはどれか。,手掌軽擦法,母指軽擦法,四指軽擦法,指髁軽擦法,4
29,按マ指,按摩・マッサージ・指圧理論,151,関節部に癒着した組織を剥離させる目的で行われるのはどれか。,強擦法,圧迫法,揉捏法,振せん法,1
29,按マ指,按摩・マッサージ・指圧理論,152,弱い刺激で時間をかけて押圧することにより、強刺激と同様の生体反応を期待するのはどれか。,緩圧法,衝圧法,持続圧法,吸圧法,3
29,按マ指,按摩・マッサージ・指圧理論,153,徒手検査法が陽性の場合、あん摩マッサージ指圧が最も適応となるのはどれか。,圧アプレーテスト,チェアテスト,トンプソンテスト,ラックマンテスト,2
29,按マ指,按摩・マッサージ・指圧理論,154,骨粗鬆症が疑われる患者への施術で、圧の強度に最も注意が必要なのはどれか。,頭維の術,平手の術,骨分の術,督脈の術,4
29,按マ指,按摩・マッサージ・指圧理論,155,手指の衛生管理で《誤っている》のはどれか。,45％エタノール消毒液を用いる。,ラビング法を用いる。,手指に傷がある場合はグローブを装着する。,手指洗浄後はペーパータオルを使用する。,1
29,按マ指,按摩・マッサージ・指圧理論,156,軽擦刺激の伝導路に関与するのはどれか。,高閾値機械受容器,脊髄側角,外側脊髄視床路,後索核,4
29,按マ指,按摩・マッサージ・指圧理論,157,次の文で示す治療的作用はどれか。「乳癌手術後にみられた上肢リンパ浮腫に対する施術で浮腫が改善した｡」,興奮作用,誘導作用,矯正作用,鎮静作用,2
29,按マ指,按摩・マッサージ・指圧理論,158,軽擦法で生じる内因性鎮痛機序の特徴はどれか。,脊髄分節性の抑制である。,持続効果が長い。,Ⅲ群線維の興奮で作動する。,脊髄前角細胞を抑制する。,1
29,按マ指,按摩・マッサージ・指圧理論,159,緊急反応によって副腎髄質から分泌されるのはどれか。,アドレナリン,アセチルコリン,コルチゾール,グルカゴン,1
29,按マ指,按摩・マッサージ・指圧理論,160,圧自律神経反射で圧迫側にみられる反応はどれか。,腋窩温の上昇,血圧の上昇,発汗の減少,鼻粘膜毛細血管の収縮,3
30,按マ指,医療概論,1,公費負担医療で、公衆衛生を目的とするのはどれか。,結核医療,養育医療,医療扶助,特定難病の医療費助成,1
30,按マ指,医療概論,2,施術者の倫理として問題を含む行為はどれか。,情報提供と説明を行う。,援助者としての立場をとる。,患者の要求に従う。,守秘義務を守る。,3
30,按マ指,医療概論,3,我が国の医療従事者で最も数が多いのはどれか。,医師,薬剤師,看護師,あん摩マッサージ指圧師,3
30,按マ指,医療概論,4,介護保険制度について正しいのはどれか。,保険者は都道府県である。,被保険者は60歳以上である。,要介護認定は保健所に申請する。,利用者はケアプランを作成できる。,4
30,按マ指,衛生学,5,現在の我が国の合計特殊出生率に最も近いのはどれか。,2.8,2.1,1.4,0.7,3
30,按マ指,衛生学,6,メタボリックシンドロームの診断基準に含まれるのはどれか。,収縮期血圧,飲酒歴,喫煙歴,BMI,1
30,按マ指,衛生学,7,プラスチック製品の滅菌方法はどれか。,高圧蒸気滅菌,ガス滅菌,ろ過滅菌,乾熱滅菌,2
30,按マ指,衛生学,8,国際機関の活動の中で、WHOが実施するのはどれか。,食料の援助,労働条件の改善,子どもの生活支援,疾病分類の作成,4
30,按マ指,衛生学,9,環境基本法における公害の定義に《含まれない》のはどれか。,放射能汚染,振動,地盤沈下,騒音,1
30,按マ指,衛生学,10,症例対照研究について正しいのはどれか。,前向き研究である。,罹患率を求めることができる。,コホート研究より研究期間が長い。,まれな疾患を効率的に研究できる。,4
30,按マ指,関係法規,11,あはき法で、あん摩マッサージ指圧師名簿の《登録事項でない》のはどれか。,本籍地都道府県,氏名,性別,住所地,4
30,按マ指,関係法規,12,東京都大田区に住む者が隣接する神奈川県川崎市に施術所を開設した。あはき法で必要な事項の届出先はどれか。,東京都知事,大田区長,神奈川県知事,川崎市長,"1,2,3,4"
30,按マ指,関係法規,13,あはき法で定められた施術所の臨検検査を拒んだ者に対する罰則はどれか。,30万円以下の罰金,50万円以下の罰金,1年以下の懲役,免許の取消し,1
30,按マ指,関係法規,14,あん摩マッサージ指圧師免許がなくても病院または診療所でマッサージができるのはどれか。,介護福祉士,理学療法士,作業療法士,柔道整復師,2
30,按マ指,解剖学,15,上腕骨の小結節に停止するのはどれか。,棘下筋,棘上筋,大胸筋,肩甲下筋,4
30,按マ指,解剖学,16,下腿の筋で足部を外反させるのはどれか。,長母指屈筋,後脛骨筋,前脛骨筋,長腓骨筋,4
30,按マ指,解剖学,17,胸管について正しいのはどれか。,左静脈角に注ぐ。,上端部は乳び槽に続く。,全身のリンパを集める。,横隔膜の食道裂孔を通過する。,1
30,按マ指,解剖学,18,腹膜後臓器はどれか。,横行結腸,十二指腸,回腸,肝臓,2
30,按マ指,解剖学,19,腎臓について正しいのはどれか。,間膜を有する。,腎静脈は門脈に注ぐ。,腎柱は皮質の一部である。,尿細管と集合管を合わせてネフロンという。,3
30,按マ指,解剖学,20,男性生殖器について正しいのはどれか。,亀頭は尿道海綿体の先端にある。,精管は大腿輪を通る。,精子は精囊に蓄えられる。,セルトリ細胞は精子に分化する。,1
30,按マ指,解剖学,21,成人の脊髄について正しいのはどれか。,後角には運動神経細胞が集まる。,脊髄円錐は仙骨の高さにある。,脊髄神経節は後根にある。,中心管は白質を通る。,3
30,按マ指,解剖学,22,眼輪筋を支配するのはどれか。,動眼神経,滑車神経,外転神経,顔面神経,4
30,按マ指,生理学,23,心拍について正しいのはどれか。,成人の安静時の平均心拍数は約100回/分である。,心拍のリズムは呼吸に同期して変動する。,発熱時には徐脈となる。,頸動脈洞を圧迫すると頻脈となる。,2
30,按マ指,生理学,24,胸腔内圧を低下させるのはどれか。,内肋間筋が収縮する。,肋骨が下がる。,横隔膜が弛緩する。,胸郭が広がる。,4
30,按マ指,生理学,25,排便時に起こるのはどれか。,外肛門括約筋の弛緩,直腸の平滑筋の弛緩,下腹神経の活動の亢進,陰部神経の活動の亢進,1
30,按マ指,生理学,26,ヘモグロビンの構成要素として不可欠なのはどれか。,亜鉛,鉄,ナトリウム,リン,2
30,按マ指,生理学,27,ホルモンとその作用の組合せで正しいのはどれか。,成長ホルモン———軟骨形成抑制,オキシトシン———子宮平滑筋弛緩,副甲状腺ホルモン———血中カルシウム濃度上昇,アルドステロン———血中ナトリウム濃度低下,3
30,按マ指,生理学,28,神経組織について正しいのはどれか。,中枢神経の神経細胞は思春期に盛んに分裂する。,末梢神経の軸索は切断されると再生できない。,グリア細胞は活動電位によって情報を伝達する。,神経細胞の軸索内では物質が輸送される。,4
30,按マ指,生理学,29,骨格筋細胞で、カルシウムイオンを貯えているのはどれか。,横行小管,ミトコンドリア,筋小胞体,アクチン,3
30,按マ指,生理学,30,好中球について正しいのはどれか。,抗体を産生する。,異物を貪食する。,リンパ球に抗原提示する。,ヒスタミンを分泌する。,2
30,按マ指,病理学,31,ビタミンで、欠乏すると口内炎の原因となるのはどれか。,ビタミンA,ビタミンB2,ビタミンC,ビタミンD,2
30,按マ指,病理学,32,融解壊死が最も生じやすい疾患はどれか。,腎梗塞,脳梗塞,脾梗塞,心筋梗塞,2
30,按マ指,病理学,33,吐血の患者で食道静脈瘤を認めた。最も考えられる原因疾患はどれか。,胃癌,肝硬変,肺結核,心臓弁膜症,2
30,按マ指,病理学,34,肉芽腫性炎を特徴とするのはどれか。,結核,面疔,ジフテリア,アレルギー性鼻炎,1
30,按マ指,病理学,35,急性糸球体腎炎が該当するのはどれか。,Ⅰ型アレルギー,Ⅱ型アレルギー,Ⅲ型アレルギー,Ⅳ型アレルギー,3
30,按マ指,病理学,36,アスベスト曝露との関連性が高いのはどれか。,皮膚癌,膀胱癌,白血病,中皮腫,4
30,按マ指,臨床医学総論,37,月経異常について正しいのはどれか。,原発性無月経の原因として子宮の形態異常がある。,続発性無月経の原因として子宮頸癌がある。,過多月経は月経周期が長い状態である。,原発性月経困難症の症状として胸痛がある。,1
30,按マ指,臨床医学総論,38,下肢の病的反射はどれか。,ワルテンベルグ反射,トレムナー反射,オッペンハイム反射,ホフマン反射,3
30,按マ指,臨床医学総論,39,疾患と腫瘍マーカーの組合せで最も適切なのはどれか。,肺癌———CA125,肝臓癌———AFP,卵巣癌———PSA,前立腺癌———SCC抗原,2
30,按マ指,臨床医学総論,40,呼吸機能検査で閉塞性換気障害を示すのはどれか。,肺塞栓症,慢性膿胸,COPD,間質性肺炎,3
30,按マ指,臨床医学総論,41,右下腹部痛をきたす疾患はどれか。,急性胃潰瘍,急性膵炎,急性胆囊炎,急性虫垂炎,4
30,按マ指,臨床医学総論,42,貧血で正しいのはどれか。,徐脈となる。,眼球結膜が充血する。,鉄欠乏は原因の一つである。,血液データの赤血球数で診断される。,3
30,按マ指,臨床医学総論,43,股関節痛の診断に用いる整形外科的徒手検査法はどれか。,ブラガードテスト,ジャクソンテスト,ラックマンテスト,パトリックテスト,4
30,按マ指,臨床医学総論,44,徐脈がみられるのはどれか。,うっ血性心不全,甲状腺機能亢進症,出血性ショック,頭蓋内圧亢進,4
30,按マ指,臨床医学総論,45,健康成人のバイタルサインで異常値はどれか。,体温36.9℃,呼吸数25回/分,脈拍数85回/分,収縮期血圧100mmHg,2
30,按マ指,臨床医学総論,46,浮腫の原因となるのはどれか。,慢性肝炎,ネフローゼ症候群,胃食道逆流症,脂質異常症,2
30,按マ指,臨床医学各論,47,疾患と炎症部位の組合せで正しいのはどれか。,上腕二頭筋長頭腱炎———大結節,テニス肘———上腕骨外側上顆,ドケルバン病———背側第二コンパートメント,長腓骨筋腱鞘炎———内果,2
30,按マ指,臨床医学各論,48,脱臼の部位と損傷神経の組合せで正しいのはどれか。,肩関節脱臼———肩甲上神経,橈骨頭脱臼———橈骨神経,股関節脱臼———大腿神経,膝関節脱臼———総腓骨神経,"2,4"
30,按マ指,臨床医学各論,49,骨腫瘍と好発年齢の組合せで正しいのはどれか。,骨巨細胞腫———1歳未満,骨肉腫———10歳代,ユーイング肉腫———50歳代,孤立性骨囊腫———70歳代,2
30,按マ指,臨床医学各論,50,ギラン・バレー症候群で正しいのはどれか。,筋疾患である。,主たる症状は感覚障害である。,深部腱反射は亢進する。,末梢神経伝導速度が低下する。,4
30,按マ指,臨床医学各論,51,まだら認知症がよくみられるのはどれか。,前頭側頭型認知症,脳血管性認知症,アルツハイマー型認知症,レビー小体型認知症,2
30,按マ指,臨床医学各論,52,慢性骨髄性白血病について正しいのはどれか。,脾臓は萎縮する。,10～20歳代に多い。,白血球数は正常である。,急性転化を起こさせないことが重要である。,4
30,按マ指,臨床医学各論,53,鉄欠乏性貧血について《誤っている》のはどれか。,女性に多い。,大球性貧血である。,貧血の中で最も頻度が高い。,血清フェリチン値は低下する。,2
30,按マ指,臨床医学各論,54,腰背部痛をきたしやすい疾患はどれか。,胆石症,膀胱炎,尿管結石,前立腺炎,3
30,按マ指,臨床医学各論,55,前立腺肥大症について正しいのはどれか。,夜間頻尿がみられる。,蛋白尿がみられる。,骨シンチグラフィ検査を行う。,直腸指診で石のように硬く触知する。,1
30,按マ指,臨床医学各論,56,失神を最もきたしやすいのはどれか。,僧帽弁狭窄症,僧帽弁閉鎖不全症,大動脈弁狭窄症,大動脈弁閉鎖不全症,3
30,按マ指,臨床医学各論,57,閉塞性睡眠時無呼吸症候群について正しいのはどれか。,低血圧の原因となる。,痩せている人に多い。,治療は在宅酸素療法である。,交通事故の原因となる。,4
30,按マ指,臨床医学各論,58,次の文で示す感染症はどれか。「丘疹から水疱となり、その後破れて痂疲を形成する発疹を呈する。」,猩紅熱,水痘,風疹,麻疹,2
30,按マ指,臨床医学各論,59,感染症について正しいのはどれか。,真菌は日和見感染の原因となる。,マイコプラズマ肺炎の罹患は高齢者に多い。,梅毒の潜伏期間は2～3日である。,突発性発疹では口腔粘膜にコプリック斑がみられる。,1
30,按マ指,臨床医学各論,60,細菌感染症はどれか。,手足口病,日本脳炎,破傷風,マラリア,3
30,按マ指,臨床医学各論,61,過敏性腸症候群について正しいのはどれか。,血便を認める。,血清CRPが上昇する。,生命予後は不良である。,排便により腹痛が軽快する。,4
30,按マ指,臨床医学各論,62,肝硬変の所見はどれか。,眼球突出,静止時振戦,中心性肥満,女性化乳房,4
30,按マ指,リハビリテーション医学,63,身体障害者福祉法で定められている身体障害の種類で正しいのはどれか。,嗅覚障害,味覚障害,高次脳機能障害,そしゃく機能障害,4
30,按マ指,リハビリテーション医学,64,回復期リハビリテーション病棟で医療チームの主な構成メンバーとなるのはどれか。,作業療法士,ジョブコーチ,柔道整復師,ケアマネジャー,1
30,按マ指,リハビリテーション医学,65,筋緊張が亢進し、痙縮をきたす疾患はどれか。,脳梗塞,パーキンソン病,ギラン・バレー症候群,進行性筋ジストロフィー,1
30,按マ指,リハビリテーション医学,66,FIMの運動項目のうちセルフケアに該当するのはどれか。,歩行,食事,理解,社会的交流,2
30,按マ指,リハビリテーション医学,67,リハビリテーションと主に担当する職種の組合せで正しいのはどれか。,自助具作製———理学療法士,物理療法———看護師,嚥下訓練———言語聴覚士,義足歩行訓練———作業療法士,3
30,按マ指,リハビリテーション医学,68,肘関節屈曲と前腕回外の作用をもつ筋はどれか。,上腕筋,腕橈骨筋,上腕二頭筋,上腕三頭筋,3
30,按マ指,リハビリテーション医学,69,ブルンストロームステージで弛緩性麻痺がみられるのはどれか。,ステージⅠ,ステージⅢ,ステージⅣ,ステージⅥ,1
30,按マ指,リハビリテーション医学,70,脳卒中の急性期リハビリテーションで正しいのはどれか。,安静臥床を基本に行う。,随意運動の訓練は行わない。,バイタルサインに留意して座位訓練を行う。,全身状態が安定するまで関節可動域訓練は行わない。,3
30,按マ指,リハビリテーション医学,71,第6胸髄節残存高位の脊髄損傷完全麻痺患者について正しいのはどれか。,横隔膜麻痺がみられる。,排便障害がみられる。,下肢の痙縮はみられない。,両松葉杖で実用歩行が可能である。,2
30,按マ指,リハビリテーション医学,72,痙直型脳性麻痺に典型的な足部変形はどれか。,外反足,扁平足,凹足,尖足,4
30,按マ指,リハビリテーション医学,73,腰痛症のリハビリテーションで用いられる治療体操はどれか。,バージャー体操,コッドマン体操,フレンケル体操,ウィリアムス体操,4
30,按マ指,リハビリテーション医学,74,末梢神経麻痺と適合する装具の組合せで正しいのはどれか。,橈骨神経麻痺———肩関節装具,正中神経麻痺———短対立装具,腋窩神経麻痺———ナックルベンダー,尺骨神経麻痺———コックアップスプリント,2
30,按マ指,総合(基礎科目),75,"次の文で示す症例について、問題＃、問題＃の問いに答えよ。
「53歳の男性。転倒受傷し頸髄損傷と診断された。上肢は両肘屈曲のみ可能で下肢は完全麻痺。温痛覚、触圧覚は上肢では両肩周囲のみ残存していたが、それ以下の体幹、下肢では脱失。」
本患者の脊髄節残存高位はどれか。",C3,C5,C7,Th1,2
30,按マ指,総合(基礎科目),76,患者はリハビリテーションを行ったが、麻痺の改善はなく、損傷レベル以下の完全麻痺が残存した。本患者の実用的移動手段で適切なのはどれか。,車椅子駆動,短下肢装具での歩行,両長下肢装具と松葉杖使用での歩行,電動車椅子操作,4
30,按マ指,総合(基礎科目),77,"次の文で示す症例について、問題＃、問題＃の問いに答えよ。
「18歳の女子。バスケットボール中、ジャンプしたときに相手と接触してバランスを崩し、着地時に右下腿外旋、膝関節外反が強制され受傷した。」
膝関節の診察所見で正しいのはどれか。",可動域は正常である。,内反動揺性が認められる。,ラックマンテスト陽性である。,サギングサイン陽性である。,3
30,按マ指,総合(基礎科目),78,確定診断に必要な検査はどれか。,CT検査,MRI検査,超音波検査,エックス線検査,2
30,按マ指,総合(基礎科目),79,"次の文で示す症例について、問題＃、問題＃の問いに答えよ。
「68歳の女性。国際線の機内で左下腿が次第に腫脹してきた。熱感や冷感はない。左ふくらはぎに把握痛がある。」
最も考えられるのはどれか。",心不全,急性腎不全,コンパートメント症候群,深部静脈血栓症,4
30,按マ指,総合(基礎科目),80,その後、胸痛と呼吸困難が出現してきた。最も考えられるのはどれか。,肺塞栓症,脳梗塞,心筋梗塞,閉塞性動脈硬化症,1
30,按マ指,東洋医学概論,81,陰陽のバランスが時間とともに変化するのはどれか。,陰陽互根,陰陽消長,陰陽対立,陰陽可分,2
30,按マ指,東洋医学概論,82,五行の土に属する臓腑について正しいのはどれか。,作強の官,奇恒の腑,降濁作用,第3胸椎に付着,3
30,按マ指,東洋医学概論,83,五行色体で相生関係にある組合せはどれか。,苦———燥,春———歌,唾———赤,香———魄,4
30,按マ指,東洋医学概論,84,腠理の開閉を調節するのはどれか。,元気,宗気,営気,衛気,4
30,按マ指,東洋医学概論,85,津液を尿にする気の作用はどれか。,気化作用,温煦作用,推動作用,固摂作用,1
30,按マ指,東洋医学概論,86,肝が蔵する物質の《生理作用でない》のはどれか。,組織を栄養する。,循環を促進する。,神の機能を維持する。,髪に潤いを与える。,2
30,按マ指,東洋医学概論,87,気の流れを順調にするのはどれか。,統血,粛降,疏泄,納気,3
30,按マ指,東洋医学概論,88,統血を主る臓と表裏関係にある腑の生理作用はどれか。,水穀の受納,清濁の泌別,胆汁の貯蔵,糟粕の伝化,1
30,按マ指,東洋医学概論,89,五気で乾燥性の外邪に犯されやすい臓はどれか。,心,脾,肺,腎,3
30,按マ指,東洋医学概論,90,三毒説と関係するのはどれか。,大便の停滞,房事の過多,感情の乱れ,運動の不足,1
30,按マ指,東洋医学概論,91,八綱病証で、急な発熱と強い悪寒、関節痛があるのはどれか。,表寒証,裏寒証,表熱証,裏熱証,1
30,按マ指,東洋医学概論,92,"次の文で示す患者の病証はどれか。
「25歳の女性。1か月前から食事制限による減量を始めたところ、疲れやすくなり、手足がだるく、冷えるようになった。」",肝気鬱結,脾陽虚,肺気虚,腎陰虚,2
30,按マ指,東洋医学概論,93,足の経脈病証と痛みの部位の組合せで正しいのはどれか。,少陽経病証———大腿後面,陽明経病証———大腿外側,少陰経病証———大腿内側,太陰経病証———大腿前外側,3
30,按マ指,東洋医学概論,94,陽がたかぶり、津液が蒸化されて発汗し、手足のほてりが出るのはどれか。,自汗,盗汗,戦汗,大汗,2
30,按マ指,経絡経穴概論,95,経脈の接続部が足の第5指端にあるのはどれか。,肝経と胆経,脾経と胃経,腎経と膀胱経,心経と小腸経,3
30,按マ指,経絡経穴概論,96,絡穴はどれか。,養老,金門,大陵,公孫,4
30,按マ指,経絡経穴概論,97,募穴が側腹部にある臓腑はどれか。,肝,肺,胆,腎,4
